"version","enroadnodeid","enroadnodetype","enroadnodename","enstationid","enhex","exroadnodeid","exroadnodetype","exroadnodename","exstationid","exhex","miles"
"6120231210001","G000561005001210","1","城固站-城固",,,"G000561005000320","1","城固匝道-洋县匝道",,,"0"
"6120231210001","G000561005001220","1","城固-城固站",,,"G0005610050030","3","陕西城固收费站",,"61012B23","0"
"6120231210001","G000561005001310","1","上元观站-上元观",,,"G000561005000510","1","上元观匝道-谢家营立交",,,"0"
"6120231210001","G000561005001310","1","上元观站-上元观",,,"G000561005000420","1","上元观匝道-城固匝道",,,"0"
"6120231210001","G000561005001320","1","上元观-上元观站",,,"G0005610050040","3","陕西上元观收费站",,"61012B41","0"
"6120231210001","G000561005001410","1","汉中东站-汉中东",,,"G000561005000620","1","汉中东匝道-谢家营立交",,,"0"
"6120231210001","G000561005001410","1","汉中东站-汉中东",,,"G000561005000710","1","汉中东匝道-汉中匝道",,,"0"
"6120231210001","G000561005001420","1","汉中东-汉中东站",,,"G0005610050050","3","陕西汉中东收费站",,"61012B42","0"
"6120231210001","G000561005001510","1","汉中站-汉中",,,"G000561005000720","1","汉中匝道-汉中东匝道",,,"0"
"6120231210001","G000561005001510","1","汉中站-汉中",,,"G000561005000810","1","汉中匝道-宝汉梁山立交",,,"0"
"6120231210001","G000561005001520","1","汉中-汉中站",,,"G0005610050060","3","陕西汉中收费站",,"61012B43","0"
"6120231210001","G000561005001610","1","勉县站-勉县",,,"G000561006000110","1","勉县匝道-胡家坝匝道",,,"0"
"6120231210001","G000561005001610","1","勉县站-勉县",,,"G000561005000920","1","勉县匝道-宝汉梁山立交",,,"0"
"6120231210001","G000561005001620","1","勉县-勉县站",,,"G0005610050070","3","陕西勉县收费站",,"61012B44","0"
"6120231210001","G0005610050020","3","陕西洋县收费站",,"61012B22","G000561005001110","1","洋县站-洋县",,,"0"
"6120231210001","G0005610050030","3","陕西城固收费站",,"61012B23","G000561005001210","1","城固站-城固",,,"0"
"6120231210001","G0005610050040","3","陕西上元观收费站",,"61012B41","G000561005001310","1","上元观站-上元观",,,"0"
"6120231210001","G0005610050050","3","陕西汉中东收费站",,"61012B42","G000561005001410","1","汉中东站-汉中东",,,"0"
"6120231210001","G0005610050060","3","陕西汉中收费站",,"61012B43","G000561005001510","1","汉中站-汉中",,,"0"
"6120231210001","G0005610050070","3","陕西勉县收费站",,"61012B44","G000561005001610","1","勉县站-勉县",,,"0"
"6120231210001","S001361002000220","1","大荔互通-永丰枢纽",,,"G000561001000710","1","永丰枢纽-孙镇匝道",,,"20603"
"6120231210001","G000561003000510","1","鄠邑匝道-涝峪匝道",,,"G000561003000610","1","涝峪匝道-西户拆分点",,,"15000"
"6120231210001","G000561003000510","1","鄠邑匝道-涝峪匝道",,,"G000561003000820","1","涝峪-涝峪站",,,"15000"
"6120231210001","G000561003000520","1","涝峪匝道-鄠邑匝道",,,"G000561003000420","1","鄠邑匝道-鄠邑东枢纽",,,"15000"
"6120231210001","G000561003000520","1","涝峪匝道-鄠邑匝道",,,"G000561003000720","1","鄠邑-鄠邑站",,,"15000"
"6120231210001","G000561006000310","1","韩家坝匝道-宁强立交匝道",,,"G000561006000620","1","宁强立交-宁强立交站",,,"10166"
"6120231210001","G000561006000320","1","宁强立交匝道-韩家坝匝道",,,"G000561006000220","1","韩家坝匝道-胡家坝匝道",,,"10166"
"6120231210001","G000561006000320","1","宁强立交匝道-韩家坝匝道",,,"G000561006000520","1","韩家坝-韩家坝站",,,"10166"
